epoch,total_loss,text_loss,tv_loss,tv_weight,l2_loss,l2_weight
0,0.5794500708580017,8.603561043739319,0.6672680377960205,0.5,0.08341657370328903,0.0
1,0.5760487914085388,8.602279037237167,0.6605387926101685,0.5,0.08235359936952591,0.0
2,0.5737621784210205,8.643894523382187,0.6535875797271729,0.5,0.08125997334718704,0.0
3,0.570273220539093,8.632489293813705,0.647261381149292,0.5,0.08028960227966309,0.0
4,0.5675147175788879,8.631232589483261,0.6418161392211914,0.5,0.0794789269566536,0.0
5,0.5640529990196228,8.605537548661232,0.6363610029220581,0.5,0.0786723718047142,0.0
6,0.5620884299278259,8.630141705274582,0.6310259103775024,0.5,0.07788188010454178,0.0
7,0.5585607886314392,8.59326197206974,0.6260780096054077,0.5,0.07714788615703583,0.0
8,0.5574488043785095,8.641084223985672,0.621121346950531,0.5,0.07641305774450302,0.0
9,0.5547075867652893,8.627542406320572,0.6164127588272095,0.5,0.07572496682405472,0.0
10,0.5525176525115967,8.634309262037277,0.6116462349891663,0.5,0.07503199577331543,0.0
11,0.5504341721534729,8.645012527704239,0.6068676710128784,0.5,0.07433988153934479,0.0
12,0.5466456413269043,8.595331102609634,0.6021294593811035,0.5,0.07365274429321289,0.0
13,0.5446587800979614,8.607964932918549,0.597433865070343,0.5,0.07297568768262863,0.0
14,0.543330192565918,8.644458547234535,0.5926913022994995,0.5,0.07229360193014145,0.0
15,0.539449155330658,8.590613469481468,0.5880061388015747,0.5,0.07162322103977203,0.0
16,0.5363810658454895,8.56522499024868,0.5833207368850708,0.5,0.07095478475093842,0.0
17,0.5344109535217285,8.577679678797722,0.5786687731742859,0.5,0.07029455900192261,0.0
18,0.5329442024230957,8.607951015233994,0.5740054845809937,0.5,0.06963499635457993,0.0
19,0.5294292569160461,8.566037863492966,0.5693706274032593,0.5,0.06898065656423569,0.0
20,0.5273250937461853,8.57360753417015,0.5647297501564026,0.5,0.06832531094551086,0.0
21,0.5258020162582397,8.60158509016037,0.5600848197937012,0.5,0.06766986101865768,0.0
22,0.5219199657440186,8.546671152114868,0.5554587841033936,0.5,0.06701970845460892,0.0
23,0.5206791758537292,8.58458000421524,0.5508109331130981,0.5,0.06636815518140793,0.0
24,0.5188519954681396,8.600500240921974,0.5462468862533569,0.5,0.06572730839252472,0.0
25,0.5159992575645447,8.580082356929779,0.5417081117630005,0.5,0.06509067863225937,0.0
26,0.5131776928901672,8.560482144355774,0.5371849536895752,0.5,0.06445609778165817,0.0
27,0.510661244392395,8.55174906551838,0.5326511859893799,0.5,0.06382258981466293,0.0
28,0.5076033473014832,8.521309152245522,0.5282747149467468,0.5,0.0632149800658226,0.0
29,0.5066752433776855,8.564430445432663,0.5239543914794922,0.5,0.06261496990919113,0.0
30,0.5037176609039307,8.5355574041605,0.5196892023086548,0.5,0.06202472373843193,0.0
31,0.501856803894043,8.544350802898407,0.5154650211334229,0.5,0.06144069507718086,0.0
32,0.49959540367126465,8.538443863391876,0.5112797021865845,0.5,0.06086501106619835,0.0
33,0.4974108636379242,8.535080373287201,0.5071028470993042,0.5,0.06029244884848595,0.0
34,0.49518969655036926,8.529663622379303,0.5029700398445129,0.5,0.05972631275653839,0.0
35,0.49212658405303955,8.494143471121788,0.4988735318183899,0.5,0.059165745973587036,0.0
36,0.4897298514842987,8.48136791586876,0.4948101043701172,0.5,0.058611493557691574,0.0
37,0.4884036183357239,8.505251631140709,0.4907929003238678,0.5,0.058063894510269165,0.0
38,0.48515745997428894,8.461278170347214,0.4868133068084717,0.5,0.057522453367710114,0.0
39,0.4828726649284363,8.450778782367706,0.48284369707107544,0.5,0.056984879076480865,0.0
40,0.48079851269721985,8.44737496972084,0.4788898825645447,0.5,0.05645245313644409,0.0
41,0.47950637340545654,8.47097572684288,0.4749569594860077,0.5,0.055924996733665466,0.0
42,0.47623997926712036,8.424864172935486,0.4710591435432434,0.5,0.05540534853935242,0.0
43,0.47435593605041504,8.425709784030914,0.4672427177429199,0.5,0.05489787086844444,0.0
44,0.47251951694488525,8.427247285842896,0.4634820222854614,0.5,0.054399192333221436,0.0
45,0.4699947237968445,8.403651490807533,0.45978081226348877,0.5,0.053909942507743835,0.0
46,0.46845728158950806,8.413799911737442,0.45612597465515137,0.5,0.053430136293172836,0.0
47,0.4666104316711426,8.41177399456501,0.4525480270385742,0.5,0.052962660789489746,0.0
48,0.46533697843551636,8.42887195944786,0.44902414083480835,0.5,0.05250426009297371,0.0
49,0.463705837726593,8.430625841021538,0.44566163420677185,0.5,0.052071068435907364,0.0
50,0.46058306097984314,8.379031509160995,0.44236433506011963,0.5,0.05164700374007225,0.0
