epoch,total_loss,text_loss,tv_loss,tv_weight,l2_loss,l2_weight
0,0.5795613527297974,12.30285930633545,0.6670082807540894,0.5,0.08302603662014008,0.0
1,0.5766347646713257,12.321778014302254,0.6603984832763672,0.5,0.08199906349182129,0.0
2,0.5729090571403503,12.32176424562931,0.6529475450515747,0.5,0.08085492998361588,0.0
3,0.5689653158187866,12.298859760165215,0.6459763050079346,0.5,0.07977470010519028,0.0
4,0.5654177069664001,12.299542769789696,0.6388537287712097,0.5,0.0786847472190857,0.0
5,0.5618917346000671,12.298879116773605,0.6318283081054688,0.5,0.07761324197053909,0.0
6,0.5584935545921326,12.294709458947182,0.6251987218856812,0.5,0.076616071164608,0.0
7,0.5560283064842224,12.335791304707527,0.6186249256134033,0.5,0.07563155889511108,0.0
8,0.5510604381561279,12.250705361366272,0.6120926737785339,0.5,0.07465851306915283,0.0
9,0.5482704639434814,12.271835163235664,0.6056675910949707,0.5,0.07370433956384659,0.0
10,0.5453378558158875,12.283522307872772,0.5993347764015198,0.5,0.07276903092861176,0.0
11,0.541979193687439,12.272819116711617,0.5930456519126892,0.5,0.07184448093175888,0.0
12,0.5383831858634949,12.246888220310211,0.5868908166885376,0.5,0.07094694674015045,0.0
13,0.5361194610595703,12.281259819865227,0.5809885263442993,0.5,0.07009124010801315,0.0
14,0.5320526957511902,12.224114894866943,0.5751408338546753,0.5,0.06924334913492203,0.0
15,0.5291918516159058,12.227627456188202,0.5692785382270813,0.5,0.06839648634195328,0.0
16,0.526453971862793,12.236713230609894,0.5634394884109497,0.5,0.06755857169628143,0.0
17,0.5242300629615784,12.271117076277733,0.5576154589653015,0.5,0.06672684103250504,0.0
18,0.5208625793457031,12.246820867061615,0.5518523454666138,0.5,0.06590712070465088,0.0
19,0.5173986554145813,12.216471523046494,0.5461384057998657,0.5,0.06509586423635483,0.0
20,0.515404999256134,12.259571328759193,0.5404271483421326,0.5,0.06428810209035873,0.0
21,0.5111366510391235,12.18676207959652,0.5348027944564819,0.5,0.06349776685237885,0.0
22,0.5087474584579468,12.206593379378319,0.5292311906814575,0.5,0.06271719932556152,0.0
23,0.5055187940597534,12.182786881923676,0.5237260460853577,0.5,0.06194854900240898,0.0
24,0.5029074549674988,12.188929796218872,0.518257737159729,0.5,0.06118989735841751,0.0
25,0.49949097633361816,12.153683215379715,0.5128346085548401,0.5,0.060440290719270706,0.0
26,0.49622464179992676,12.122198194265366,0.5075613260269165,0.5,0.05971534922719002,0.0
27,0.49460169672966003,12.171828880906105,0.5023302435874939,0.5,0.058999307453632355,0.0
28,0.4911189377307892,12.12746125459671,0.49713942408561707,0.5,0.05829266831278801,0.0
29,0.4888918995857239,12.144350424408913,0.4920097589492798,0.5,0.05759444832801819,0.0
30,0.48600393533706665,12.123834282159805,0.4870545268058777,0.5,0.05692429468035698,0.0
31,0.4835265874862671,12.121893614530563,0.4821774661540985,0.5,0.056268833577632904,0.0
32,0.4804016947746277,12.086454004049301,0.47734522819519043,0.5,0.05562034621834755,0.0
33,0.4776346683502197,12.068129554390907,0.4725441336631775,0.5,0.05497853830456734,0.0
34,0.4754730761051178,12.078763917088509,0.46779561042785645,0.5,0.05434407293796539,0.0
35,0.4725896120071411,12.052656725049019,0.46307292580604553,0.5,0.053713608533144,0.0
36,0.4702577292919159,12.052905514836311,0.45839923620224,0.5,0.053091853857040405,0.0
37,0.4675471782684326,12.032822281122208,0.45378145575523376,0.5,0.05247678607702255,0.0
38,0.46507126092910767,12.023102790117264,0.44921839237213135,0.5,0.051872603595256805,0.0
