epoch,total_loss,text_loss,tv_loss,tv_weight,l2_loss,l2_weight
0,0.5778193473815918,12.29909372329712,0.6636749505996704,0.5,0.08311821520328522,0.0
1,0.5753501057624817,12.311467364430428,0.6582415103912354,0.5,0.08223624527454376,0.0
2,0.5712676048278809,12.273303851485252,0.651603102684021,0.5,0.08120313286781311,0.0
3,0.5678446292877197,12.271727442741394,0.6448202133178711,0.5,0.08016398549079895,0.0
4,0.5645359754562378,12.277716964483261,0.6379632949829102,0.5,0.0791216790676117,0.0
5,0.5611345767974854,12.278944671154022,0.6311113238334656,0.5,0.07809306681156158,0.0
6,0.5576289892196655,12.272344574332237,0.6243641376495361,0.5,0.07708189636468887,0.0
7,0.5550841093063354,12.317719861865044,0.6174593567848206,0.5,0.0760519728064537,0.0
8,0.55136638879776,12.302162677049637,0.6106463074684143,0.5,0.07504072040319443,0.0
9,0.5474469065666199,12.271653950214386,0.6040276288986206,0.5,0.07406194508075714,0.0
10,0.5441744923591614,12.269068777561188,0.5975862741470337,0.5,0.07311465591192245,0.0
11,0.5413983464241028,12.285511583089828,0.5913761854171753,0.5,0.07220117747783661,0.0
12,0.5380859375,12.27227871119976,0.5852807760238647,0.5,0.07130459696054459,0.0
13,0.5353938341140747,12.288989707827568,0.5792281031608582,0.5,0.07041701674461365,0.0
14,0.5319250822067261,12.266840487718582,0.5731765031814575,0.5,0.06953251361846924,0.0
15,0.5286476016044617,12.254010081291199,0.5671347975730896,0.5,0.06865342706441879,0.0
16,0.525631308555603,12.253231167793274,0.5611333847045898,0.5,0.06778370589017868,0.0
17,0.5228134393692017,12.26023656129837,0.555217444896698,0.5,0.06693006306886673,0.0
18,0.51996248960495,12.264253869652748,0.5493548512458801,0.5,0.0660867765545845,0.0
19,0.5161406397819519,12.218278139829636,0.5435501337051392,0.5,0.06525643169879913,0.0
20,0.5133933424949646,12.221655517816544,0.5379204750061035,0.5,0.06445221602916718,0.0
21,0.5108091235160828,12.232816070318222,0.5323055982589722,0.5,0.06365425139665604,0.0
22,0.5085955262184143,12.25880728662014,0.5268387794494629,0.5,0.06287871301174164,0.0
23,0.5059431791305542,12.262157946825027,0.521399974822998,0.5,0.062109194695949554,0.0
24,0.5027703046798706,12.2391227632761,0.5159757137298584,0.5,0.06134552136063576,0.0
25,0.49988293647766113,12.229310691356659,0.5105934739112854,0.5,0.060592006891965866,0.0
26,0.49665457010269165,12.201244160532951,0.5052593946456909,0.5,0.0598485954105854,0.0
27,0.49449652433395386,12.225830718874931,0.4999598264694214,0.5,0.05911301448941231,0.0
28,0.492292582988739,12.24797137081623,0.49466627836227417,0.5,0.05838124081492424,0.0
29,0.4890567660331726,12.217774331569672,0.4894025921821594,0.5,0.05765584111213684,0.0
30,0.48660808801651,12.225964024662971,0.4841776490211487,0.5,0.056938521564006805,0.0
31,0.4835757613182068,12.203167766332626,0.4790247976779938,0.5,0.05623424053192139,0.0
32,0.48070472478866577,12.187481746077538,0.4739101529121399,0.5,0.05553888902068138,0.0
33,0.4782486855983734,12.192121222615242,0.4688125252723694,0.5,0.05484801530838013,0.0
34,0.4759361743927002,12.202810987830162,0.4637598991394043,0.5,0.05416439101099968,0.0
35,0.47364550828933716,12.21380802989006,0.45873868465423584,0.5,0.05348614975810051,0.0
36,0.4709036946296692,12.201539903879166,0.4537457823753357,0.5,0.052814118564128876,0.0
37,0.4680415987968445,12.182583659887314,0.448779821395874,0.5,0.05215092748403549,0.0
38,0.4651460647583008,12.159804627299309,0.443899929523468,0.5,0.051502760499715805,0.0
39,0.4628365933895111,12.165205746889114,0.43906494975090027,0.5,0.05086185038089752,0.0
40,0.4605868458747864,12.171727523207664,0.4343045949935913,0.5,0.05023270472884178,0.0
41,0.45759081840515137,12.139734447002411,0.42959222197532654,0.5,0.04961112514138222,0.0
42,0.4554072916507721,12.147006794810295,0.4249342978000641,0.5,0.049000177532434464,0.0
43,0.45363157987594604,12.170048549771309,0.42046117782592773,0.5,0.048414554446935654,0.0
44,0.450490802526474,12.122631654143333,0.41607633233070374,0.5,0.047842491418123245,0.0
45,0.4488218426704407,12.147020250558853,0.41176289319992065,0.5,0.04728193208575249,0.0
46,0.44604820013046265,12.115081086754799,0.40749311447143555,0.5,0.046729329973459244,0.0
